time,kind,bead,partner,z,d_pair,note
40.005,birth,0,-1,17.5,nan,registered after 2 frames
40.005,birth,1,-1,29.5,nan,registered after 2 frames
40.005,birth,2,-1,38.5,nan,registered after 2 frames
41.0025,birth,3,-1,49.0,nan,registered after 2 frames
44.0025,detection_gap,2,-1,32.0,nan,reacquired after 2 missed frames
45.0,detection_gap,1,-1,33.0,nan,reacquired after 1 missed frames
46.005,detection_gap,1,-1,33.5,nan,reacquired after 1 missed frames
47.0025,detection_gap,1,-1,34.5,nan,reacquired after 1 missed frames
57.0,birth,4,-1,64.0,nan,registered after 2 frames
62.0025,birth,5,-1,16.5,nan,registered after 2 frames
75.0,birth,6,-1,66.0,nan,registered after 2 frames
78.0,detection_gap,6,-1,66.0,nan,reacquired after 1 missed frames
79.005,detection_gap,6,-1,66.0,nan,reacquired after 1 missed frames
80.0025,detection_gap,6,-1,66.0,nan,reacquired after 1 missed frames
85.005,detection_gap,6,-1,66.0,nan,reacquired after 1 missed frames
86.0025,detection_gap,6,-1,66.0,nan,reacquired after 1 missed frames
87.0,detection_gap,6,-1,66.5,nan,reacquired after 1 missed frames
90.0,birth,7,-1,51.0,nan,registered after 2 frames
111.0,birth,8,-1,74.5,nan,registered after 2 frames
114.0,detection_gap,8,-1,74.0,nan,reacquired after 1 missed frames
115.005,detection_gap,8,-1,73.5,nan,reacquired after 1 missed frames
130.005,birth,9,-1,77.0,nan,registered after 2 frames
142.005,birth,10,-1,16.5,nan,registered after 2 frames
148.005,birth,11,-1,63.5,nan,registered after 2 frames
161.0025,birth,12,-1,15.0,nan,registered after 2 frames
173.0025,detection_gap,12,-1,16.5,nan,reacquired after 1 missed frames
174.0,detection_gap,12,-1,17.0,nan,reacquired after 1 missed frames
175.005,detection_gap,12,-1,18.5,nan,reacquired after 1 missed frames
237.0,birth,13,-1,29.0,nan,registered after 2 frames
240.0,detection_gap,13,-1,33.0,nan,reacquired after 1 missed frames
241.005,detection_gap,13,-1,33.0,nan,reacquired after 1 missed frames
242.0025,birth,14,-1,23.5,nan,registered after 2 frames
246.0,detection_gap,14,-1,31.0,nan,reacquired after 2 missed frames
247.005,detection_gap,13,-1,30.5,nan,reacquired after 2 missed frames
248.0025,detection_gap,13,-1,29.5,nan,reacquired after 2 missed frames
249.0,detection_gap,13,-1,30.0,nan,reacquired after 1 missed frames
248.0025,birth,15,-1,23.0,nan,registered after 2 frames
262.005,birth,16,-1,27.0,nan,registered after 2 frames
266.0025,detection_gap,16,-1,22.0,nan,reacquired after 1 missed frames
267.0,detection_gap,16,-1,24.0,nan,reacquired after 1 missed frames
268.005,detection_gap,16,-1,24.0,nan,reacquired after 1 missed frames
270.0,birth,17,-1,57.5,nan,registered after 2 frames
275.0025,detection_gap,17,-1,64.5,nan,reacquired after 1 missed frames
276.0,detection_gap,11,-1,65.5,nan,reacquired after 1 missed frames
277.005,detection_gap,11,-1,66.5,nan,reacquired after 1 missed frames
278.0025,detection_gap,11,-1,65.5,nan,reacquired after 1 missed frames
282.0,birth,18,-1,58.0,nan,registered after 2 frames
288.0,birth,19,-1,28.0,nan,registered after 2 frames
295.005,birth,20,-1,38.0,nan,registered after 2 frames
301.005,detection_gap,18,-1,56.0,nan,reacquired after 2 missed frames
302.0025,detection_gap,18,-1,56.5,nan,reacquired after 2 missed frames
303.0,detection_gap,18,-1,58.0,nan,reacquired after 1 missed frames
308.0025,birth,22,-1,24.0,nan,registered after 2 frames
312.0,birth,23,-1,59.0,nan,registered after 2 frames
316.005,detection_gap,23,-1,59.0,nan,reacquired after 2 missed frames
317.0025,birth,24,-1,29.0,nan,registered after 2 frames
321.0,detection_gap,24,-1,30.0,nan,reacquired after 1 missed frames
320.0025,birth,25,-1,57.0,nan,registered after 2 frames
