config,case,n_frames,mean_abs_dbead,frac_bead_ge4,frac_F2,frac_F3,frac_F4F5,max_bead,median_modulation,median_noise_sigma
new,S1_F2,961,0.384,0.914,0.92,0.068,0.012,10,0.793,
new,S3_F1,161,0.656,0.727,0.95,0.0,0.0,7,0.072,
new,S5_F5,161,0.188,0.031,0.081,0.0,0.826,5,0.4,
legacy,S1_F2,961,0.22,0.228,0.53,0.026,0.44,5,0.793,
legacy,S3_F1,161,0.094,0.0,0.0,0.0,0.0,2,0.072,
legacy,S5_F5,161,0.019,0.0,0.0,0.0,0.789,2,0.4,
strict,S1_F2,961,0.177,0.351,0.638,0.109,0.241,5,0.67,
strict,S3_F1,161,0.15,0.0,0.106,0.0,0.0,3,0.062,
strict,S5_F5,161,0.044,0.0,0.0,0.0,0.634,2,0.369,
frozen,S1_F2,961,0.208,0.59,0.798,0.08,0.121,7,0.724
frozen,S3_F1,161,0.338,0.056,0.366,0.0,0.0,4,0.067
frozen,S5_F5,161,0.062,0.0,0.025,0.0,0.739,3,0.383
frozen_promabs0.30,S1_F2,961,0.208,0.59,0.798,0.08,0.121,7,0.724
frozen_promabs0.30,S3_F1,161,0.338,0.056,0.366,0.0,0.0,4,0.067
frozen_promabs0.30,S5_F5,161,0.062,0.0,0.025,0.0,0.739,3,0.383
