parameter,R0,t_first_bead_ge2,t_first_bead_ge4,max_bead_count,birth_count,R_birth,merge_events,R_merge,median_bead_lifetime,mean_migration_speed,median_migration_speed,mean_spacing_slope,CV_spacing_slope,largest_fraction_slope,median_CV_spacing,median_modulation,modal_class,F0,F1,F2,F3,F4,F5,n_flicker,median_bead4_hold
ep11,5,20.0025,20.0025,4,17,0.0944457561910582,0,0.0,6.0,0.8361941196065489,0.6411621636212776,-0.005550405032433832,-0.0005874537650834881,-0.0025438441447917935,0.4096492402043485,0.5688291423767832,F2,0,0,0.90,0.02,0.08,0,4,12.0
ep13,5,20.0025,20.0025,6,37,0.20555841053347962,0,0.0,2.0024999999999977,1.232685952056556,0.8061197770545764,-0.0007894535825969396,0.0004080856769728746,-0.00047129735645655576,0.4333733955839929,0.294008299321355,F2,0,0.01,0.88,0.06,0.03,0.03,22,87.0
ep15,5,20.0025,20.0025,6,20,0.11111265434242142,0,0.0,3.0,0.6212479855947141,0.6322359069315073,0.05148746174946431,0.00010598256194183137,0.00028601207862306323,0.4307515235028194,0.4410808710309733,F2,0,0,0.85,0.14,0.01,0,11,90.9975
ep17,5,20.0025,20.0025,8,31,0.1722246142307532,0,0.0,2.501249999999999,0.9319418034497023,0.6658437137620166,0.16358550995918875,0.0008538524758175045,0.0016629577886840084,0.4697073557013984,0.510116933146794,F2,0,0,0.77,0.08,0.15,0,13,71.0025
ep20,5,20.0025,20.0025,6,23,0.12777955249378464,0,0.0,3.0,0.8679060425814006,0.6683375104427732,0.10382963618911291,0.00040466886369904843,0.0023372070463382145,0.36970206616350487,0.411468391333835,F2,0,0,0.62,0.07,0.23,0.08,9,44.00249999999999
h2,5,20.0025,20.0025,6,42,0.23333657411908498,0,0.0,3.0,1.4123868028586044,0.7202952221566238,0.05896092641267859,0.00017469680724283248,0.002649105734298912,0.45757513044307807,0.23309928785340558,F2,0,0,0.84,0.14,0.02,0,17,105.0
h2.5,5,20.0025,20.0025,6,42,0.23333657411908498,0,0.0,3.0,1.4123868028586044,0.7202952221566238,0.05896092641267859,0.00017469680724283248,0.002649105734298912,0.45757513044307807,0.23309928785340558,F2,0,0,0.84,0.14,0.02,0,17,105.0
h3,5,20.0025,20.0025,4,17,0.0944457561910582,0,0.0,6.0,0.8361941196065489,0.6411621636212776,-0.005550405032433832,-0.0005874537650834881,-0.0025438441447917935,0.4096492402043485,0.5688291423767832,F2,0,0,0.90,0.02,0.08,0,4,12.0
h3.5,5,20.0025,20.0025,4,17,0.0944457561910582,0,0.0,6.0,0.8361941196065489,0.6411621636212776,-0.005550405032433832,-0.0005874537650834881,-0.0025438441447917935,0.4096492402043485,0.5688291423767832,F2,0,0,0.90,0.02,0.08,0,4,12.0
h4,5,20.0025,20.0025,6,18,0.10000138890817928,0,0.0,3.0,1.2048622382866039,0.7693602548276546,0.09088248405721504,9.027624090532408e-05,-2.0031875522445265e-05,0.5045883222984852,0.4148363568150879,F2,0,0,0.94,0.04,0.01,0,13,47.99999999999999
R4,4,20.0025,20.0025,6,32,0.17778024694787428,2,0.011111265434242143,2.0024999999999977,0.9322443954824968,0.5712789436277258,0.10419052014638686,-0.0006167677457086863,0.0019657208848286116,0.3881043674065006,0.4113997041872372,F2,0,0,0.72,0.21,0.07,0,21,98.0025
R5,5,20.0025,20.0025,4,17,0.0944457561910582,0,0.0,6.0,0.8361941196065489,0.6411621636212776,-0.005550405032433832,-0.0005874537650834881,-0.0025438441447917935,0.4096492402043485,0.5688291423767832,F2,0,0,0.90,0.02,0.08,0,4,12.0
R6,6,20.0025,20.0025,7,19,0.10555702162530035,0,0.0,4.9950000000000045,0.6508390875672756,0.7082904725082622,0.04965236469943486,0.0003124445649056706,-0.0008157560622648011,0.4510404638167179,0.5544537140884505,F2,0,0,0.88,0.12,0.01,0,4,29.0025
R8,8,20.0025,20.0025,7,71,0.39444992291559605,0,0.0,3.0,1.1023617781953676,0.7512687817195418,0.05251142283373018,0.00020000700506843857,0.0011884150978595986,0.4427365187106209,0.2265912471193194,F2,0,0,0.90,0.10,0,0,34,123.0
