mode,lambda_z,dz_grid,dz_eff,n_outer_layer,points_per_wavelength,class_
1,160.0,0.5,1.2030075187969924,133,133.0,SAFE
2,80.0,0.5,1.2030075187969924,133,66.5,SAFE
3,53.333333333333336,0.5,1.2030075187969924,133,44.333333333333336,SAFE
4,40.0,0.5,1.2030075187969924,133,33.25,SAFE
5,32.0,0.5,1.2030075187969924,133,26.6,SAFE
6,26.666666666666668,0.5,1.2030075187969924,133,22.166666666666668,SAFE
7,22.857142857142858,0.5,1.2030075187969924,133,19.0,ACCEPTABLE
8,20.0,0.5,1.2030075187969924,133,16.625,ACCEPTABLE
9,17.77777777777778,0.5,1.2030075187969924,133,14.777777777777779,ACCEPTABLE
10,16.0,0.5,1.2030075187969924,133,13.3,ACCEPTABLE
11,14.545454545454545,0.5,1.2030075187969924,133,12.090909090909092,ACCEPTABLE
12,13.333333333333334,0.5,1.2030075187969924,133,11.083333333333334,ACCEPTABLE
