case,mode,time,A_inj,A_ctrl,SNR
m2,2,0.0,0.05522225851783217,1.6054487876906877e-07,343967.73625688214
m2,2,0.2025,0.03749385833114873,0.013902388633101129,2.6969364273040886
m2,2,0.405,0.01717457527825549,0.02757849488228247,0.6227524508340418
m2,2,0.6,0.013328920099827495,0.0088126258778222,1.5124799673353857
m2,2,0.8025,0.025512820557101034,0.0026076540058802052,9.78382120464224
m2,2,1.005,0.01697313078784514,0.014742556324618263,1.1513017426633188
m2,2,1.2,0.006380193609987701,0.007592961389881868,0.8402773677329294
m2,2,1.4025,0.020694854717014297,0.015118228835752104,1.3688676723872837
m2,2,1.605,0.011476296300487916,0.003351046362618389,3.4246903977540746
m2,2,1.8,0.008517855354455327,0.0058907339785393255,1.445975218960308
m2,2,2.0025,0.016591388678751172,0.013957939377568285,1.188670349537059
m2,2,2.205,0.009315461091320027,0.008279078327095757,1.1251809347946857
m2,2,2.4,0.015119006969440598,0.010097299808521224,1.4973316882877439
m2,2,2.6025,0.011617054979659057,0.011457562704547125,1.0139202620334458
m2,2,2.805,0.0013125948734994662,0.00572699563487782,0.2291943205798286
m2,2,3.0,0.008818839142433232,0.006590896293800446,1.3380333644042377
m2,2,3.2025,0.009306154428420137,0.010896881527569933,0.8540199693714998
m2,2,3.405,0.005524527699026647,0.007539168839129099,0.7327767578773077
m2,2,3.6,0.010512131403334441,0.004347604275935462,2.417913576339138
m2,2,3.8025,0.009558341461546821,0.00678402405928081,1.4089486384516337
m2,2,4.005,0.006926822006506456,0.01055608830084709,0.6561921243071264
m2,2,4.2,0.006576775205491634,0.008043924034933703,0.8176078213729475
m2,2,4.4025,0.01098424045889756,0.007350053274751366,1.4944436520793964
m2,2,4.605,0.005915979947155286,0.0064217973825836105,0.9212342892038078
m2,2,4.8,0.007076813530528826,0.007193693044481591,0.9837525019166025
m2,2,5.0025,0.009512845233704305,0.007205757055951558,1.3201729061691332
m2,2,5.205,0.007094600556208953,0.007292731353991428,0.9728317432570672
m2,2,5.4,0.006279745359769312,0.006740158508665605,0.9316910502469112
m2,2,5.6025,0.007776121068027168,0.007004802985848177,1.1101127446035652
m2,2,5.805,0.007704399812139064,0.007492098371589036,1.0283367128967635
m2,2,6.0,0.007110910398098757,0.0064528059804107385,1.1019873245353842
m2,2,6.2025,0.008616759976414317,0.006656731862194326,1.2944430021812365
m2,2,6.405,0.007179150402340366,0.006919300396031019,1.037554375650232
m2,2,6.6,0.006730462923253028,0.00649023702577969,1.037013424397159
m2,2,6.8025,0.00733305046628484,0.006121722742340239,1.1978736664381389
m2,2,7.005,0.0074264118851750625,0.006990703728480476,1.0623267947859798
m2,2,7.2,0.006299313875663029,0.005901132728145289,1.067475375637397
m2,2,7.4025,0.007246199122038452,0.006302172882893196,1.1497937706069201
m2,2,7.605,0.007204770129888536,0.006582739262461007,1.094494228409554
m2,2,7.8,0.006300406811103791,0.00601354313290949,1.0477029384930194
m2,2,8.0025,0.006180256545065683,0.005876798422279138,1.0516366397111947
m2,2,8.205,0.00662273317175647,0.006547311353360433,1.011519509967603
m2,2,8.4,0.005963062354238129,0.005978085337247384,0.9974869908738754
m2,2,8.6025,0.006062845872037112,0.006029245205154784,1.0055729474816517
m2,2,8.805,0.006320383917898718,0.006301390979607713,1.003014086628249
m2,2,9.0,0.005875245353979308,0.00609113046568782,0.9645574638526259
m2,2,9.2025,0.005369637367059282,0.005938227943098234,0.9042491158158046
m2,2,9.405,0.005692875549506373,0.006196151176743291,0.9187760897239049
m2,2,9.6,0.005392932589170935,0.006024976114398832,0.8950960944529882
m2,2,9.8025,0.005115298564679723,0.006183528885747671,0.8272458428179906
m2,2,10.005,0.005239297388455246,0.006290235696288511,0.8329254484925961
m2,2,10.2,0.005117088636156154,0.006308000080057717,0.8112061780616423
m2,2,10.4025,0.004919580644096384,0.0062058906735402005,0.7927275717362854
m2,2,10.605,0.004852966671981797,0.0064278214941933184,0.754994001679388
m2,2,10.8,0.0047677462501692115,0.006508111113107314,0.73258525666026
m2,2,11.0025,0.00447472690061515,0.006644602867566107,0.6734378246226513
m2,2,11.205,0.004523088896544586,0.006834933928064867,0.6617604418928421
m2,2,11.4,0.004531039783361761,0.006875059650315241,0.6590546138976408
m2,2,11.6025,0.004399529181600307,0.0063189812653860365,0.6962402635532317
m2,2,11.805,0.004329491016607208,0.006045142232003222,0.7161934079378168
m2,2,12.0,0.004368356450582403,0.006347494786118411,0.688201660304745
m2,2,12.2025,0.004205733220826105,0.0061406621327292285,0.6848989783055951
m2,2,12.405,0.004184814240507616,0.005922524334148483,0.706593000619438
m2,2,12.6,0.004195758908111663,0.006128773511349375,0.6846000917380745
m2,2,12.8025,0.00419445171496771,0.006037576891945517,0.6947243554882682
m2,2,13.005,0.004148342278332843,0.00596927885075588,0.694948649920676
m2,2,13.2,0.004144537132594127,0.006002556841036428,0.6904619551888346
m2,2,13.4025,0.0041146737596615066,0.005878578940782836,0.6999436090099634
m2,2,13.605,0.004098267656313409,0.005828444302576762,0.7031494929961946
m2,2,13.8,0.004060867651983766,0.005794946022665944,0.7007602203886583
m2,2,14.0025,0.00391418522200951,0.00564762446366635,0.6930675449812898
m2,2,14.205,0.0038700800410135885,0.005464301508058392,0.7082478950523227
m2,2,14.4,0.0038894329544276606,0.005377478201486166,0.7232819564666471
m2,2,14.6025,0.00389435089870361,0.0053001290608559026,0.7347652960878509
m2,2,14.805,0.0038690358749129683,0.005094949261414099,0.7593865368227671
m2,2,15.0,0.00383545322761685,0.00494681012148267,0.7753386795584705
m2,2,15.2025,0.003950727936733469,0.004903187995490899,0.8057467795170535
m2,2,15.405,0.003723254272758944,0.004804598300740908,0.774935601210363
m2,2,15.6,0.0037100745723840497,0.0046937136573812445,0.7904347907013154
m2,2,15.8025,0.0037040175070826562,0.004661217290290586,0.7946459640056263
m2,2,16.005,0.0036913333768061646,0.004597517530218925,0.8028970748982419
m2,2,16.2,0.0036805293992401007,0.004500149989075526,0.8178681617668034
m2,2,16.4025,0.003276030373304384,0.004315817202347967,0.7590753314394549
m2,2,16.605,0.0033345068638134787,0.0042661499537026285,0.7816197039486227
m2,2,16.8,0.00330907915526037,0.004129778164151649,0.8012728586694271
m2,2,17.0025,0.0033060870845703014,0.0041066598150416266,0.8050550163568369
m2,2,17.205,0.0032990801688998904,0.004065419771473936,0.8114980381727701
m2,2,17.4,0.0032886714009900263,0.004032661701487507,0.8155088734016422
m2,2,17.6025,0.003266052536777493,0.004043025627248248,0.8078238522075419
m2,2,17.805,0.0032657429372905254,0.004019192530216128,0.8125370737377722
m2,2,18.0,0.0029207452884192774,0.004009097003933328,0.7285294632566216
m2,2,18.2025,0.002961293582191305,0.003986728022544421,0.7427879618187095
m2,2,18.405,0.002945512574939394,0.003978944812182984,0.7402747999722534
m2,2,18.6,0.0029360977982846766,0.003785558225860692,0.7756049763617411
m2,2,18.8025,0.002922169778841154,0.003408955834342211,0.857203765857827
m2,2,19.005,0.002911749476462447,0.003421103822471951,0.8511140344049936
m2,2,19.2,0.0028944704617589294,0.003394594837863222,0.8526703774701127
m2,2,19.4025,0.002918826562193486,0.003385735200457015,0.8620953469129823
m2,2,19.605,0.0029009481793528854,0.0034532944797918165,0.8400523605295805
m2,2,19.8,0.002931999577494852,0.0034384125397362033,0.8527189636528596
m2,2,20.0025,0.0029165735410182953,0.0034213737990615215,0.8524568528052409
