label,t_end,N_max,t_bead2,t_bead4,t_Nmax,t_coarsen,T_F2,bead_density_max,coarsen_rate_N,L_spec_slope,P_low_end,dynamics_class,dir
R4,200.0,6.0,5.0025,8.0025,8.0025,8.0025,45.77114427860697,0.075,0.02083360460422662,-0.00723756176409098,14.25676050652787,D2,E:\哈哈\_stage2\ofat\R4
R5,200.0,7.0,5.0025,6.0,5.0025,5.0025,36.81592039800995,0.0875,0.020513083501070527,-0.0026644072222988526,168.12388524211926,D2,E:\哈哈\_stage2\ofat\R5
R6,200.0,6.0,5.0025,15.0,13.005,13.005,75.62189054726367,0.075,0.016043209711489613,-0.012492977996416455,67.52285125478946,D2,E:\哈哈\_stage2\ofat\R6
R8,200.0,6.0,5.0025,7.005,11.0025,11.0025,73.6318407960199,0.075,0.015873225836320587,0.01029877441630352,10.804416134820215,D2,E:\哈哈\_stage2\ofat\R8
ep11,200.0,7.0,5.0025,6.0,5.0025,5.0025,36.81592039800995,0.0875,0.020513083501070527,-0.0026644072222988526,168.12388524211926,D2,E:\哈哈\_stage2\ofat\ep11
ep13,200.0,5.0,3.0,9.0,7.005,7.005,49.75124378109453,0.0625,0.02072592554211249,0.03763909383208049,14.83602706516601,D2,E:\哈哈\_stage2\ofat\ep13
ep15,200.0,6.0,4.005,8.0025,16.005,16.005,80.59701492537313,0.075,0.021739721188075763,-0.004363739358207819,64.81352629450232,D2,E:\哈哈\_stage2\ofat\ep15
ep17,200.0,6.0,3.0,10.005,9.0,9.0,77.61194029850746,0.075,0.020942408376963352,0.01221696862469043,121.60041937420317,D3,E:\哈哈\_stage2\ofat\ep17
ep20,200.0,6.0,3.0,6.0,5.0025,5.0025,29.850746268656714,0.075,0.025641354376338157,0.015776797659599495,54.6238750212631,D3,E:\哈哈\_stage2\ofat\ep20
h2.5,200.0,6.0,6.0,13.005,13.005,13.005,99.50248756218906,0.075,0.021390946281986147,0.04645164413043987,15.646245946595075,D3,E:\哈哈\_stage2\ofat\h2.5
h2,200.0,6.0,6.0,13.005,13.005,13.005,99.50248756218906,0.075,0.021390946281986147,0.04645164413043987,15.646245946595075,D3,E:\哈哈\_stage2\ofat\h2
h3.5,200.0,7.0,5.0025,6.0,5.0025,5.0025,36.81592039800995,0.0875,0.020513083501070527,-0.0026644072222988526,168.12388524211926,D2,E:\哈哈\_stage2\ofat\h3.5
h3,200.0,7.0,5.0025,6.0,5.0025,5.0025,36.81592039800995,0.0875,0.020513083501070527,-0.0026644072222988526,168.12388524211926,D2,E:\哈哈\_stage2\ofat\h3
h4,200.0,5.0,4.005,6.0,4.005,4.005,31.8407960199005,0.0625,0.02040868389499732,0.007640410665712221,84.47202971912829,D2,E:\哈哈\_stage2\ofat\h4
